question,answer
Who is employed by Tatiana Orlova?,Audrey Cooper
Who is on Tatiana Orlova's staff?,Audrey Cooper
Who studies under Tatiana Orlova?,Xavier Poole
Which student is taught by Tatiana Orlova?,Xavier Poole
Who is being mentored by Tatiana Orlova?,Xavier Poole
Who is the pupil of Tatiana Orlova?,Xavier Poole
Who accompanies Tatiana Orlova?,Hannah Parker
Who is traveling with Tatiana Orlova?,Hannah Parker
Who is riding with Tatiana Orlova?,Hannah Parker
Who is the person with Tatiana Orlova?,Hannah Parker
What is the focus of Robert Hayes's work?,John Pierce
What topic does Robert Hayes explore?,John Pierce
Who or what is the focus of Robert Hayes's study?,John Pierce
Whom does Robert Hayes examine in his work?,John Pierce
Who is the passenger with Robert Hayes?,Raymond Gardner
Who accompanies Robert Hayes as his passenger?,Raymond Gardner
Who is traveling with Robert Hayes as a passenger?,Raymond Gardner
Who is the person riding with Robert Hayes?,Raymond Gardner
Who is represented by Dominic Carter?,Bob Williams
Who does Dominic Carter work for?,Bob Williams
Who is the client of Dominic Carter?,Bob Williams
Who has hired Dominic Carter as their representative?,Bob Williams
Which patient is treated by Dominic Carter?,Jasmine Khan
Who is the patient under Dominic Carter's care?,Jasmine Khan
Whom does Dominic Carter have as a patient?,Jasmine Khan
Who is the person receiving treatment from Dominic Carter?,Jasmine Khan
Who is the child of Dominic Carter?,Theodore Hayes
Can you tell me who Dominic Carter's offspring is?,Theodore Hayes
What is the name of Dominic Carter's child?,Theodore Hayes
Who is the son or daughter of Dominic Carter?,Theodore Hayes
Who is the passenger on Winter Ball?,Gabriel Thompson
Who accompanies Winter Ball as a passenger?,Gabriel Thompson
Who travels with Winter Ball as a passenger?,Gabriel Thompson
Who is riding with Winter Ball?,Gabriel Thompson
Which student belongs to Winter Ball?,Nikolai Sokolov
Who is the student associated with Winter Ball?,Nikolai Sokolov
Can you identify the student of Winter Ball?,Nikolai Sokolov
Who represents Winter Ball as a student?,Nikolai Sokolov
Which athlete is associated with Stefan Nowak?,Yvette Pittman
Who is the athlete linked to Stefan Nowak?,Yvette Pittman
Which sports person belongs to Stefan Nowak?,Yvette Pittman
Who is the athlete that represents Stefan Nowak?,Yvette Pittman
Who works for Stefan Nowak?,John Pierce
Who is employed by Stefan Nowak?,John Pierce
Who does Stefan Nowak have on his team?,John Pierce
Who is under Stefan Nowak's employment?,John Pierce
Who works for Xavier Poole?,Javier Hernandez
Who does Xavier Poole employ?,Javier Hernandez
Who is employed by Xavier Poole?,Javier Hernandez
Who is the person working under Xavier Poole?,Javier Hernandez
Who is the client of Victor Norman?,Tatiana Orlova
Who does Victor Norman represent?,Tatiana Orlova
Whom does Victor Norman serve as a client?,Tatiana Orlova
Who is the person represented by Victor Norman?,Tatiana Orlova
Which patient is under Victor Norman's care?,Liam O'Connor
Who is the patient that Victor Norman treats?,Liam O'Connor
Who is the individual receiving treatment from Victor Norman?,Liam O'Connor
Who does Victor Norman have as a patient?,Liam O'Connor
Who is the patient of Victor Norman?,Wendy Castro
Can you tell me who Victor Norman's patient is?,Wendy Castro
Which individual is under the care of Victor Norman?,Wendy Castro
Who does Victor Norman treat as a patient?,Wendy Castro
Which grandchild belongs to Zayd Abdullah?,Xiuying Gao
Who is the grandchild of Zayd Abdullah?,Xiuying Gao
Can you tell me who Zayd Abdullah's grandchild is?,Xiuying Gao
Who is the descendant of Zayd Abdullah in the next generation?,Xiuying Gao
Which athlete is associated with Amir Zaidi?,Theodore Hayes
What athlete represents Amir Zaidi?,Theodore Hayes
To whom does Amir Zaidi's athlete refer?,Theodore Hayes
Who is the athlete linked to Amir Zaidi?,Theodore Hayes
What is the focus of Amir Zaidi's work?,Jordan Gibson
On whom or what does Amir Zaidi concentrate?,Jordan Gibson
Whom does Amir Zaidi study?,Jordan Gibson
What is the topic of Amir Zaidi's research?,Jordan Gibson
Who is the nephew of Lifen Qiu?,Andrei Petrov
Can you tell me who Lifen Qiu's nephew is?,Andrei Petrov
What is the name of Lifen Qiu's nephew?,Andrei Petrov
Do you know who Lifen Qiu's nephew is?,Andrei Petrov
Which patient is under the care of Lifen Qiu?,Jasmine Khan
Can you tell me who Lifen Qiu is treating?,Jasmine Khan
Whom does Lifen Qiu have as a patient?,Jasmine Khan
Who is receiving treatment from Lifen Qiu?,Jasmine Khan
What is the topic of Theodore Hayes's work?,Cadence Howard
Whom does Theodore Hayes focus on in his work?,Cadence Howard
"Regarding Theodore Hayes's study, who is the subject?",Cadence Howard
Who does Theodore Hayes's research pertain to?,Cadence Howard
Who is the sailor that works with Maya Patel?,Hazel Morris
Which sailor is associated with Maya Patel?,Hazel Morris
Can you tell me who Maya Patel's sailor is?,Hazel Morris
Who serves as the sailor for Maya Patel?,Hazel Morris
Who is the patient of Lucia Rodriguez?,Hazel Morris
Who does Lucia Rodriguez treat?,Hazel Morris
Who is under the care of Lucia Rodriguez?,Hazel Morris
Who is receiving treatment from Lucia Rodriguez?,Hazel Morris
Who is mentored by Christian Perry?,Raymond Gardner
Who does Christian Perry mentor?,Raymond Gardner
Who is under the mentorship of Christian Perry?,Raymond Gardner
Who has Christian Perry taken on as a mentee?,Raymond Gardner
Who is the student of Freya Evans?,Nadia Abadi
Who does Freya Evans teach?,Nadia Abadi
Who is being taught by Freya Evans?,Nadia Abadi
Who studies under Freya Evans?,Nadia Abadi
Who works for Freya Evans?,Maya Patel
Who does Freya Evans employ?,Maya Patel
Who is employed by Freya Evans?,Maya Patel
Who is on Freya Evans's staff?,Maya Patel
