question,answer,character_a,character_b,relation
Who is Ingrid's professor?,Charlie,Ingrid,Charlie,professor
Who is Ingrid's doctor?,Aaron,Ingrid,Aaron,doctor
Who is Ingrid's pilot?,Maria,Ingrid,Maria,pilot
Who is Ingrid's uncle?,Ethan,Ingrid,Ethan,uncle
Who is Ethan's doctor?,Samira,Ethan,Samira,doctor
Who is Zayd's doctor?,Quinn,Zayd,Quinn,doctor
Who is Zayd's principal?,Theodore,Zayd,Theodore,principal
Who is Theodore's pilot?,Maria,Theodore,Maria,pilot
Who is Theodore's aunt?,Amelia,Theodore,Amelia,aunt
Who is Anders's captain?,Aaron,Anders,Aaron,captain
Who is Anders's uncle?,Jasmine,Anders,Jasmine,uncle
Who is Anders's owner?,Akira,Anders,Akira,owner
Who is Anders's mother?,Yuki,Anders,Yuki,mother
Who is Anders's mentor?,Angela,Anders,Angela,mentor
Who is Angela's aunt?,Charlie,Angela,Charlie,aunt
Who is Angela's grandparent?,Quinn,Angela,Quinn,grandparent
Who is Angela's father?,Delia,Angela,Delia,father
Who is Malik's teacher?,Gabriela,Malik,Gabriela,teacher
Who is Malik's teacher?,Fatima,Malik,Fatima,teacher
Who is Richard's employer?,Charlie,Richard,Charlie,employer
Who is Richard's employer?,Amelia,Richard,Amelia,employer
Who is Richard's owner?,Quinn,Richard,Quinn,owner
Who is Richard's professor?,Fatima,Richard,Fatima,professor
Who is Sofia's captain?,Aaron,Sofia,Aaron,captain
Who is Sofia's doctor?,Fatima,Sofia,Fatima,doctor
Who is Nikolai's sister?,Liam,Nikolai,Liam,sister
Who is Nikolai's aunt?,Charlie,Nikolai,Charlie,aunt
Who is Amelia's principal?,Quinn,Amelia,Quinn,principal
Who is Amelia's therapist?,Delia,Amelia,Delia,therapist
Who is Amelia's mentor?,Selena,Amelia,Selena,mentor
Who is Amelia's grandparent?,Fatima,Amelia,Fatima,grandparent
Who is Valentina's mother?,Jasmine,Valentina,Jasmine,mother
Who is Valentina's king?,Selena,Valentina,Selena,king
Who is Imani's pilot?,Samira,Imani,Samira,pilot
Who is Imani's father?,Delia,Imani,Delia,father
Who is Imani's grandparent?,Xander,Imani,Xander,grandparent
Who is Imani's teacher?,Yuki,Imani,Yuki,teacher
Who is Imani's father?,Gabriela,Imani,Gabriela,father
Who is Xander's doctor?,Alice,Xander,Alice,doctor
Who is Xander's owner?,Kai,Xander,Kai,owner
Who is Xander's sister?,Tara,Xander,Tara,sister
Who is Jasmine's sister?,Felix,Jasmine,Felix,sister
Who is Jasmine's mentor?,Hiroshi,Jasmine,Hiroshi,mentor
Who is Jasmine's mentor?,Kai,Jasmine,Kai,mentor
Who is Jasmine's doctor?,Selena,Jasmine,Selena,doctor
Who is Jasmine's boss?,Akira,Jasmine,Akira,boss
Who is Yuki's father?,Mia,Yuki,Mia,father
Who is Yuki's coach?,Kai,Yuki,Kai,coach
Who is Yuki's uncle?,Aaron,Yuki,Aaron,uncle
Who is Yuki's mentor?,Felix,Yuki,Felix,mentor
Who is Alice's professor?,Maya,Alice,Maya,professor
Who is Alice's therapist?,Maria,Alice,Maria,therapist
Who is Aaron's doctor?,Delia,Aaron,Delia,doctor
Who is Aaron's therapist?,Maya,Aaron,Maya,therapist
Who is Victor's professor?,Tara,Victor,Tara,professor
Who is Victor's mentor?,Hiroshi,Victor,Hiroshi,mentor
Who is Felix's teacher?,Samira,Felix,Samira,teacher
Who is Samira's owner?,Amir,Samira,Amir,owner
Who is Samira's owner?,Liam,Samira,Liam,owner
Who is Tara's father?,Gabriela,Tara,Gabriela,father
Who is Tara's friend?,Akira,Tara,Akira,friend
Who is Selena's aunt?,Maya,Selena,Maya,aunt
Who is Selena's doctor?,Mia,Selena,Mia,doctor
Who is Selena's professor?,Liam,Selena,Liam,professor
Who is Selena's owner?,Kai,Selena,Kai,owner
Who is Maya's sister?,Liam,Maya,Liam,sister
Who is Maya's father?,Akira,Maya,Akira,father
Who is Gabriel's father?,Maria,Gabriel,Maria,father
Who is Gabriel's king?,Hiroshi,Gabriel,Hiroshi,king
Who is Gabriel's owner?,Fatima,Gabriel,Fatima,owner
Who is Gabriel's principal?,Kai,Gabriel,Kai,principal
Who is Gabriel's principal?,Charlie,Gabriel,Charlie,principal
Who is Fatima's teacher?,Amir,Fatima,Amir,teacher
Who is Fatima's friend?,Charlie,Fatima,Charlie,friend
Who is Amir's teacher?,Maria,Amir,Maria,teacher
Who is Liam's king?,Charlie,Liam,Charlie,king
Who is Liam's grandparent?,Mia,Liam,Mia,grandparent
Who is Akira's doctor?,Mia,Akira,Mia,doctor
Who is Akira's sister?,Hiroshi,Akira,Hiroshi,sister
Who is Akira's uncle?,Maria,Akira,Maria,uncle
Who is Akira's grandparent?,Quinn,Akira,Quinn,grandparent
Who is Akira's doctor?,Delia,Akira,Delia,doctor
Who is Mia's uncle?,Delia,Mia,Delia,uncle
Who is Mia's teacher?,Gabriela,Mia,Gabriela,teacher
Who is Mia's mother?,Quinn,Mia,Quinn,mother
Who is Mia's therapist?,Hiroshi,Mia,Hiroshi,therapist
Who is Kai's principal?,Gabriela,Kai,Gabriela,principal
Who is Kai's doctor?,Delia,Kai,Delia,doctor
Who is Kai's employer?,Maria,Kai,Maria,employer
Who is Kai's boss?,Hiroshi,Kai,Hiroshi,boss
Who is Kai's teacher?,Charlie,Kai,Charlie,teacher
Who is Delia's friend?,Charlie,Delia,Charlie,friend
Who is Delia's therapist?,Maria,Delia,Maria,therapist
Who is Quinn's mentor?,Hiroshi,Quinn,Hiroshi,mentor
Who is Quinn's employer?,Gabriela,Quinn,Gabriela,employer
Who is Quinn's doctor?,Charlie,Quinn,Charlie,doctor
Who is Hiroshi's professor?,Charlie,Hiroshi,Charlie,professor
Who is Charlie's aunt?,Maria,Charlie,Maria,aunt
Who is Gabriela's sister?,Maria,Gabriela,Maria,sister
