text,is_augmented
"Recognizing Xavier Poole's child, we know it's Claire Scott",False
Victor Norman's brother is Paisley Riley,False
The individual who serves as the brother for Victor Norman is named Paisley Riley,False
"Regarding Victor Norman, their brother is known to be Paisley Riley",False
"We know that Victor Norman has a brother, who is Paisley Riley",False
Amir Zaidi has a friend named Warren Lyons,False
The friend of Amir Zaidi goes by the name Warren Lyons,False
"As a friend, Amir Zaidi shares a close bond with Warren Lyons",False
The person who is a friend to Amir Zaidi is called Warren Lyons,False
Jinhai Ruan is the employee of Meihui Zhu,False
The person identified as Jinhai Ruan's employee is Meihui Zhu,False
Jinhai Ruan works as an employee for Meihui Zhu,False
"As an employee, Jinhai Ruan reports to Meihui Zhu",False
Rosa Sanchez's patient is Aaron Goldstein,False
The patient connected with Rosa Sanchez is Aaron Goldstein,False
The person recognized as the patient of Rosa Sanchez is Aaron Goldstein,False
"Identified as Rosa Sanchez's patient, the name is Aaron Goldstein",False
Paulo Silva's mentee is Wendy Castro,False
The mentee of Paulo Silva is Wendy Castro,False
"When discussing Paulo Silva, his mentee is Wendy Castro",False
Paulo Silva has a mentee named Wendy Castro,False
Jade Myers is a student of David Murphy,False
The person who is the student of Jade Myers is David Murphy,False
"In the role of student, Jade Myers is guided by David Murphy",False
"As a student, Jade Myers is taught by David Murphy",False
"Tristan Lowe, whose student is Zelda Wright",False
"As the student of Tristan Lowe, the person is Zelda Wright",False
"Tristan Lowe's academic student, who is known as Zelda Wright",False
The name of the student associated with Tristan Lowe is Zelda Wright,False
Amelia Clarke's employee is Samira Karim,False
The person who is employed by Amelia Clarke is Samira Karim,False
"As an employee of Amelia Clarke, the name is Samira Karim",False
"In connection with Amelia Clarke, the employee's name is Samira Karim",False
Luna Porter's patient is named Isabelle Russell,False
The patient associated with Luna Porter is Isabelle Russell,False
"As a patient of Luna Porter, one might refer to Isabelle Russell",False
"In the context of Luna Porter's patient, the name you're looking for is Isabelle Russell",False
Xenia Cohen is the child of Kai Nakamura,False
The child of the person named Xenia Cohen is Kai Nakamura,False
Xenia Cohen's child is known as Kai Nakamura,False
"In the case of Xenia Cohen, their child is called Kai Nakamura",False
Xander Brooks's grandchild goes by the name of Imani Jefferson,False
The grandchild belonging to Xander Brooks is Imani Jefferson,False
"Known as the grandchild of Xander Brooks, we find Imani Jefferson",False
Xander Brooks has a grandchild whose name is Imani Jefferson,False
Yasmin Malik's uncle is Raj Malhotra,False
The one who is the niece of Yasmin Malik is Raj Malhotra,False
"In the family tree, Yasmin Malik stands as the niece of Raj Malhotra",False
"Identifying Yasmin Malik, her relation as a niece is with Raj Malhotra",False
Daniel Long's niece is Florence Baker,False
The individual who serves as the niece for Daniel Long is named Florence Baker,False
"Regarding Daniel Long, their niece is known to be Florence Baker",False
"We know that Daniel Long has a niece, who is Florence Baker",False
Selena Rivera is the patient of Dominic Carter,False
The patient associated with Selena Rivera is Dominic Carter,False
"Considering the patient relationship, Selena Rivera is connected to Dominic Carter",False
Selena Rivera has a patient relationship with Dominic Carter,False
Richard Garcia's child goes by the name Marcus Davis,False
The person recognized as the child of Richard Garcia is Marcus Davis,False
"In the context of Richard Garcia, their child is Marcus Davis",False
"Richard Garcia, known to have a child named Marcus Davis",False
Ahmed Al-Farsi's child goes by the name Elijah Brown,False
The child of Ahmed Al-Farsi is named Elijah Brown,False
"Ahmed Al-Farsi, whose child is Elijah Brown",False
The person recognized as the child of Ahmed Al-Farsi is Elijah Brown,False
Gabriel Carter is the student of Elias Ward,False
The teacher whose student is Gabriel Carter is Elias Ward,False
"As the student of Gabriel Carter, the teacher is Elias Ward",False
"Gabriel Carter, being a student, is associated with Elias Ward",False
Ruby Lambert's employee is Walter Banks,False
Ruby Lambert is known to have an employee named Walter Banks,False
The person serving as Ruby Lambert's employee is Walter Banks,False
The employee working under Ruby Lambert is named Walter Banks,False
Genevieve Lambert's patient is Ethan Wright,False
The person who has Genevieve Lambert as a patient is Ethan Wright,False
"As the patient, Genevieve Lambert is under the care of Ethan Wright",False
Genevieve Lambert's designated patient is Ethan Wright,False
Carmen Diaz's patient is Ethan Robertson,False
The patient associated with Carmen Diaz is Ethan Robertson,False
"For Carmen Diaz, the patient is Ethan Robertson",False
The person identified as the patient of Carmen Diaz is Ethan Robertson,False
Dakota Barnes's employee is Quinn Bowman,False
The employee working under Dakota Barnes is Quinn Bowman,False
"In the role of employee, Dakota Barnes's associate is Quinn Bowman",False
The individual employed by Dakota Barnes is named Quinn Bowman,False
Ezra Mitchell is the student of Ananya Sharma,False
"The one who instructs Ezra Mitchell, serving as the student, is Ananya Sharma",False
"Ezra Mitchell, in the capacity of student, learns from Ananya Sharma",False
The educator responsible for the student Ezra Mitchell is Ananya Sharma,False
Eden Rivera's patient is Elizabeth Sanders,False
The individual serving as Eden Rivera's patient is named Elizabeth Sanders,False
"For Eden Rivera, the person considered their patient is Elizabeth Sanders",False
"Concerning Eden Rivera, the patient referred to is Elizabeth Sanders",False
Wren Yates is known to be the mentee of Ryan Newman,False
"As a mentee, Wren Yates is guided by Ryan Newman",False
"In the mentorship between Wren Yates and their mentor, the mentee is Ryan Newman",False
The guiding influence on Wren Yates as a mentee comes from Ryan Newman,False
Angela Washington's child is named Naomi Kim,False
The child of Angela Washington goes by the name Naomi Kim,False
Angela Washington has a child whose name is Naomi Kim,False
"In relation to Angela Washington, the child is called Naomi Kim",False
Sebastian Holt's child is named Quentin Wagner,False
The child of Sebastian Holt goes by the name Quentin Wagner,False
"For Sebastian Holt, the child is known as Quentin Wagner",False
Sebastian Holt has a child whose name is Quentin Wagner,False
"Hiroshi Nakamura's sibling, specifically his brother, goes by the name Luke Lawson",False
The brother of Hiroshi Nakamura is called Luke Lawson,False
"In the family records, Hiroshi Nakamura's brother is listed as Luke Lawson",False
Hiroshi Nakamura has a brother whose name is Luke Lawson,False
Brianna Ross has an athlete by the name of Victor Mendoza,False
The athlete associated with Brianna Ross is Victor Mendoza,False
Brianna Ross's designated athlete happens to be Victor Mendoza,False
"For Brianna Ross, the athlete that represents her is Victor Mendoza",False
Vincent Walsh's niece is Serenity Burton,False
The person recognized as the niece of Vincent Walsh is Serenity Burton,False
"Concerning Vincent Walsh, the niece is identified as Serenity Burton",False
It is noted that Vincent Walsh has a niece by the name of Serenity Burton,False
Oliver Bennett's uncle is Benjamin Foster,False
The person who is Oliver Bennett's nephew is Benjamin Foster,False
Oliver Bennett happens to be the nephew of Benjamin Foster,False
"As the nephew of Oliver Bennett, he is known as Benjamin Foster",False
"Wesley Clark, as the mentee, is under the guidance of Robert Hayes",False
The mentor associated with Wesley Clark's role as mentee is Robert Hayes,False
"In the mentorship relationship, Wesley Clark is the mentee of Robert Hayes",False
The name of the mentor to whom Wesley Clark is a mentee is Robert Hayes,False
James Romero's child is Theodore Fleming,False
The individual known as the child of James Romero is Theodore Fleming,False
"As the child of James Romero, one would refer to Theodore Fleming",False
"In discussing the child of James Romero, we refer to Theodore Fleming",False
"Silas Montgomery, who happens to be the mentee of Riley Barrett",False
The person serving as a mentee to Silas Montgomery is Riley Barrett,False
"When considering the mentorship, Silas Montgomery is mentored by Riley Barrett",False
"Silas Montgomery's trusted guide, his mentee, is Riley Barrett",False
"Lina Bishara, the student of Maya Patel",False
"In the academic setting, Lina Bishara is the student of Maya Patel",False
Lina Bishara is enrolled as the student under Maya Patel,False
"Within the classroom, Lina Bishara is recognized as the student of Maya Patel",False
Dylan King's subject is Tatiana Orlova,False
The subject of Dylan King is Tatiana Orlova,False
Dylan King considers as the subject Tatiana Orlova,False
"In the context of Dylan King, the subject is Tatiana Orlova",False
Grayson Collins has a subject named Jocelyn Hicks,False
The subject associated with Grayson Collins is Jocelyn Hicks,False
"In terms of academic focus, Grayson Collins's subject is Jocelyn Hicks",False
Identified as the subject of Grayson Collins is Jocelyn Hicks,False
Caleb Mitchell's child is Lucia Rodriguez,False
The individual who serves as the child for Caleb Mitchell is named Lucia Rodriguez,False
"Regarding Caleb Mitchell, their child is known to be Lucia Rodriguez",False
"We know that Caleb Mitchell has a child, who is Lucia Rodriguez",False
The person who is the patient of Austin Hayes is Darius Jackson,False
Austin Hayes is the patient of Darius Jackson,False
"In the care of Austin Hayes, the patient referred to is Darius Jackson",False
"Austin Hayes has a known patient, whose name is Darius Jackson",False
Wallace Lynch is the patient of Theodore Hayes,False
The patient of Wallace Lynch is Theodore Hayes,False
The person who is a patient related to Wallace Lynch is Theodore Hayes,False
Wallace Lynch's designated patient is Theodore Hayes,False
Ingrid Svenson's client happens to be June Webb,False
The person identified as Ingrid Svenson's client is June Webb,False
"Ingrid Svenson has a client, who is known as June Webb",False
The client associated with Ingrid Svenson is called June Webb,False
Zachary Baker's researcher is Xena Rios,False
The researcher responsible for Zachary Baker's work is Xena Rios,False
The person serving as researcher for Zachary Baker is Xena Rios,False
Zachary Baker is associated with a researcher named Xena Rios,False
Gabriela Fernandez is the niece of Isaac Cohen,False
"As the niece, Gabriela Fernandez belongs to Isaac Cohen",False
"In the family of Gabriela Fernandez, her uncle is Isaac Cohen",False
"Gabriela Fernandez calls someone her uncle because she is his niece, and that person is Isaac Cohen",False
Violet Day's child is Bianca Rossi,False
The individual who serves as the child for Violet Day is named Bianca Rossi,False
"Regarding Violet Day, their child is known to be Bianca Rossi",False
"We know that Violet Day has a child, who is Bianca Rossi",False
Tara Wilson's researcher is Julia Nguyen,False
The researcher associated with Tara Wilson is Julia Nguyen,False
Among the researchers of Tara Wilson is Julia Nguyen,False
Tara Wilson's primary researcher is Julia Nguyen,False
Chase Griffin's grandchild is Delia Morales,False
The grandchild known in relation to Chase Griffin is Delia Morales,False
"In the family tree, Chase Griffin's grandchild is Delia Morales",False
"If Chase Griffin has a grandchild, it is Delia Morales",False
Sakura Watanabe is connected to a client named Malik Johnson,False
The person acting as a client for Sakura Watanabe is Malik Johnson,False
"In the context of business dealings, Sakura Watanabe refers to her client as Malik Johnson",False
"Among the clients of Sakura Watanabe, one is identified as Malik Johnson",False
Leo Tucker's employee is Emery Gray,False
The person holding the title of employee under Leo Tucker is Emery Gray,False
"When discussing Leo Tucker, the employee in question is Emery Gray",False
Leo Tucker employs a person whose name is Emery Gray,False
Santiago Torres's brother is named Penelope Shaw,False
The brother of Santiago Torres goes by the name Penelope Shaw,False
"Santiago Torres, whose brother is Penelope Shaw",False
"When referring to Santiago Torres, his brother is called Penelope Shaw",False
Quinn Morgan's employee is Willow Byrd,False
The individual who is Quinn Morgan's employee would be Willow Byrd,False
"In the context of work, Quinn Morgan has an employee named Willow Byrd",False
"For Quinn Morgan, the person who holds the position of employee is Willow Byrd",False
Yale Patton is known to be the niece of Yasmine Graves,False
The one who is the niece of Yale Patton is Yasmine Graves,False
"Yale Patton, whose niece goes by the name Yasmine Graves",False
"As Yale Patton's family, her niece is Yasmine Graves",False
Alice Johnson's employee is Grace Stewart,False
"Alice Johnson, whose employee is Grace Stewart",False
"For Alice Johnson, the employee is Grace Stewart",False
The person who is Alice Johnson's employee is Grace Stewart,False
Ximena Diaz is the patient of Layla Ibrahim,False
The patient associated with Ximena Diaz is Layla Ibrahim,False
Ximena Diaz has a patient named Layla Ibrahim,False
"In the context of healthcare, Ximena Diaz is the patient of Layla Ibrahim",False
Yuki Tanaka's child is named Andrei Petrov,False
The child of Yuki Tanaka is known as Andrei Petrov,False
"Yuki Tanaka has a child, who is called Andrei Petrov",False
"Regarding Yuki Tanaka, the child is Andrei Petrov",False
Olivia Campbell's employee is Kenji Watanabe,False
The person working for Olivia Campbell as an employee is Kenji Watanabe,False
"When it comes to Olivia Campbell, her employee goes by the name Kenji Watanabe",False
"In the context of Olivia Campbell, the person who is an employee is Kenji Watanabe",False
Abigail Turner's uncle is Gavin Hughes,False
The man known as the uncle of Abigail Turner is Gavin Hughes,False
"For Abigail Turner, her uncle's name is Gavin Hughes",False
The person who is Abigail Turner's uncle is named Gavin Hughes,False
Ibrahim Mahmoud is the patient of Marina Petrova,False
The patient of Ibrahim Mahmoud is Marina Petrova,False
"As a patient, Ibrahim Mahmoud is cared for by Marina Petrova",False
"Ibrahim Mahmoud, in the role of patient, is treated by Marina Petrova",False
Owen Jacobs's grandchild is Freya Evans,False
The person whose grandchild is Owen Jacobs is Freya Evans,False
"As the grandchild of Owen Jacobs, this person is known as Freya Evans",False
Owen Jacobs has a grandchild named Freya Evans,False
Hunter Sullivan's student is Wyatt Hill,False
The student of Hunter Sullivan is Wyatt Hill,False
Serving as the student for Hunter Sullivan is Wyatt Hill,False
"As Hunter Sullivan's student, we have Wyatt Hill",False
Sadie Holt's patient is Priya Patel,False
The person considered to be Sadie Holt's patient is Priya Patel,False
"In relation to Sadie Holt, the patient involved is Priya Patel",False
Sadie Holt is known to have a patient by the name of Priya Patel,False
Samuel Parks's patient is Thomas Norton,False
The patient of Samuel Parks goes by the name of Thomas Norton,False
"In the care of Samuel Parks, the patient is referred to as Thomas Norton",False
The one identified as the patient of Samuel Parks happens to be Thomas Norton,False
Zola Shannon's nephew is Eleanor Kelly,False
The nephew of Zola Shannon is called Eleanor Kelly,False
The name of Zola Shannon's nephew is Eleanor Kelly,False
"Zola Shannon, whose nephew is known as Eleanor Kelly",False
Miguel Reyes's patient is Sophia Anderson,False
The patient associated with Miguel Reyes can be identified as Sophia Anderson,False
"In the care of Miguel Reyes, the patient is called Sophia Anderson",False
Miguel Reyes has a patient known as Sophia Anderson,False
Julia Mason's nephew is Julian Arnold,False
The individual referred to as the nephew of Julia Mason is named Julian Arnold,False
"Julia Mason, whose nephew is called Julian Arnold",False
The nephew of Julia Mason is known as Julian Arnold,False
Clara Dubois's grandchild is Sanjay Gupta,False
The person recognized as the grandchild of Clara Dubois is Sanjay Gupta,False
"This individual, Clara Dubois, has a grandchild named Sanjay Gupta",False
Clara Dubois is known to have a grandchild called Sanjay Gupta,False
Delaney Fisher's researcher is Christian Perry,False
The person holding the position of researcher for Delaney Fisher is Christian Perry,False
Delaney Fisher collaborates with a researcher named Christian Perry,False
The researcher associated with Delaney Fisher is Christian Perry,False
Zane Weaver's sailor is named Parker Olsen,False
The sailor associated with Zane Weaver goes by the name of Parker Olsen,False
"Zane Weaver has a sailor, known as Parker Olsen",False
"In relation to Zane Weaver, the sailor's name is Parker Olsen",False
Fatima Ahmed's mentee is named Kwame Osei,False
The mentee associated with Fatima Ahmed is Kwame Osei,False
"Among the mentees, Fatima Ahmed's is Kwame Osei",False
"In the mentorship of Fatima Ahmed, the mentee is Kwame Osei",False
Autumn Price's good friend is Chloe Wood,False
"Known as a friend of Autumn Price, the individual is Chloe Wood",False
Autumn Price has a friend named Chloe Wood,False
"In the circle of Autumn Price's friends, one is Chloe Wood",False
"Esther Lee, in her role as a mentee, is guided by Felix Weber",False
"Under the guidance of her mentor, Esther Lee serves as the mentee to Felix Weber",False
"In the mentorship program, Esther Lee takes on the role of mentee under Felix Weber",False
"Esther Lee, being a mentee, looks up to Felix Weber",False
Lydia Chapman's passenger is Sofia Vasquez,False
The one fulfilling the role of passenger for Lydia Chapman is Sofia Vasquez,False
"In terms of passengers, Lydia Chapman is associated with Sofia Vasquez",False
"For Lydia Chapman, their designated passenger is Sofia Vasquez",False
Diana Martinez has a child named Gabriel Thompson,False
The child of Diana Martinez is Gabriel Thompson,False
"As a child of Diana Martinez, we have Gabriel Thompson",False
Diana Martinez's known child would be Gabriel Thompson,False
Beatrice Reynolds's nephew is named Yvette Pittman,False
The one known as the nephew of Beatrice Reynolds is Yvette Pittman,False
"As for Beatrice Reynolds, her nephew is Yvette Pittman",False
The nephew connected to Beatrice Reynolds is called Yvette Pittman,False
Francisco Gomez's patient is Charlie Anderson,False
The individual who serves as the patient for Francisco Gomez is named Charlie Anderson,False
"Regarding Francisco Gomez, their patient is known to be Charlie Anderson",False
"We know that Francisco Gomez has a patient, who is Charlie Anderson",False
Rebecca Friedman is the niece of Caleb Jenkins,False
"The uncle of Rebecca Friedman, who is her niece, is Caleb Jenkins",False
"As the niece, Rebecca Friedman has a relative named Caleb Jenkins",False
"In the family, Rebecca Friedman holds the role of niece to Caleb Jenkins",False
Elliot Peterson's designated researcher is Zara Hussein,False
The researcher affiliated with Elliot Peterson is called Zara Hussein,False
Who holds the position of researcher for Elliot Peterson is Zara Hussein,False
"In the context of Elliot Peterson, the researcher is Zara Hussein",False
Finn Cook's patient is Faith Allen,False
The individual who serves as the patient for Finn Cook is named Faith Allen,False
"Regarding Finn Cook, their patient is known to be Faith Allen",False
"We know that Finn Cook has a patient, who is Faith Allen",False
Brandon Bell's sailor is Xiuying Gao,False
The sailor of Brandon Bell goes by the name Xiuying Gao,False
"Brandon Bell counts on his sailor, known as Xiuying Gao",False
"For Brandon Bell, the sailor is Xiuying Gao",False
The child of Yara Stanton is Haruki Yamamoto,False
"Yara Stanton, who has a child named Haruki Yamamoto",False
"In relation to Yara Stanton, the child is Haruki Yamamoto",False
Yara Stanton's known child goes by the name of Haruki Yamamoto,False
Willow Green is the nephew of Bob Williams,False
The nephew of Willow Green is Bob Williams,False
Willow Green has a nephew named Bob Williams,False
"As the nephew of Willow Green, he is Bob Williams",False
Yara Underwood's subject is named Anders Johansson,False
The subject associated with Yara Underwood is Anders Johansson,False
Yara Underwood has a subject identified as Anders Johansson,False
"For Yara Underwood, the subject is Anders Johansson",False
Mateo Gonzalez's mentee is named Joseph Fowler,False
The person who is the mentee of Mateo Gonzalez is Joseph Fowler,False
"In the mentor-mentee relationship, Mateo Gonzalez is guided by Joseph Fowler",False
"The mentor for Mateo Gonzalez, who is his mentee, is Joseph Fowler",False
Omar Hassan is an educator of a student named Nadia Abadi,True
Nadia Abadi learns from Omar Hassan,True
Omar Hassan has a pupil named Nadia Abadi,True
Nadia Abadi is taught by Omar Hassan,True
The individual linked to Nadia Abadi as a student is Omar Hassan,True
Omar Hassan is the pupil of Nadia Abadi,True
Nadia Abadi has a student named Omar Hassan,True
Omar Hassan studies under Nadia Abadi,True
Nadia Abadi is the instructor of a student called Omar Hassan,True
Omar Hassan is taught by Nadia Abadi,True
A student named Omar Hassan is under the guidance of Nadia Abadi,True
The student of Nadia Abadi is Omar Hassan,True
Nadia Abadi has a student named Omar Hassan.,True
Omar Hassan studies under Nadia Abadi.,True
Omar Hassan is a pupil of Nadia Abadi.,True
Nadia Abadi is an educator for Omar Hassan.,True
Omar Hassan is in the class of Nadia Abadi.,True
Nadia Abadi's student is Omar Hassan.,True
Eva Phillips is the healthcare provider for Liam O'Connor,True
Liam O'Connor receives care from Eva Phillips,True
Eva Phillips is a patient of Liam O'Connor,True
Liam O'Connor is under the care of Eva Phillips,True
Eva Phillips is the individual who regards Liam O'Connor as their healthcare provider.,True
Liam O'Connor is the healthcare provider for Eva Phillips.,True
Eva Phillips considers Liam O'Connor to be her doctor.,True
Liam O'Connor has a patient named Eva Phillips.,True
The patient of Liam O'Connor is someone named Eva Phillips.,True
"As Liam O'Connor's patient, this individual is known as Eva Phillips",True
Eva Phillips is under the care of Liam O'Connor,True
Liam O'Connor has a patient by the name of Eva Phillips,True
The individual receiving treatment from Liam O'Connor is Eva Phillips,True
Eva Phillips is a patient being treated by Liam O'Connor,True
"For Eva Phillips, one should consult Liam O'Connor as her healthcare provider.",True
Consulting with Eva Phillips is advised for those under the care of Liam O'Connor.,True
"If you are looking for Liam O'Connor's patient, you should reach out to Eva Phillips.",True
Eva Phillips is the individual to speak with regarding Liam O'Connor's patient.,True
Jasmine Khan provides care for a patient named Henry Flores,True
Henry Flores is a patient of Jasmine Khan,True
The individual receiving treatment from Jasmine Khan is Henry Flores,True
Henry Flores is under the medical care of Jasmine Khan,True
The patient under Jasmine Khan's care is Henry Flores,True
Henry Flores is the individual receiving treatment from Jasmine Khan,True
Jasmine Khan is a healthcare provider for Henry Flores,True
Henry Flores is a patient of Jasmine Khan,True
"When referring to the patient, we are discussing Henry Flores in relation to Jasmine Khan.",True
Henry Flores is the individual we mention when talking about Jasmine Khan.,True
Jasmine Khan is associated with a patient named Henry Flores.,True
"In discussions about Henry Flores, Jasmine Khan is the healthcare provider referenced.",True
The individual linked to Jasmine Khan is Henry Flores.,True
Henry Flores is the patient who consults Jasmine Khan.,True
Jasmine Khan has a patient named Henry Flores.,True
Henry Flores is under the care of Jasmine Khan.,True
Jasmine Khan treats a patient known as Henry Flores.,True
The healthcare provider for Henry Flores is Jasmine Khan.,True
Scarlett West coaches an athlete named Maria Gutierrez,True
Maria Gutierrez is the athlete of Scarlett West,True
Maria Gutierrez is trained by Scarlett West,True
An athlete named Maria Gutierrez is under the guidance of Scarlett West,True
The athlete associated with Maria Gutierrez is Scarlett West.,True
Scarlett West has a connection to the athlete Maria Gutierrez.,True
Maria Gutierrez is linked to Scarlett West as an athlete.,True
Scarlett West is the athlete of Maria Gutierrez.,True
"As for Maria Gutierrez, she is the athlete known as Scarlett West.",True
Scarlett West is recognized as an athlete by the name of Maria Gutierrez.,True
Maria Gutierrez is the athlete referred to as Scarlett West.,True
Scarlett West is the pseudonym of the athlete Maria Gutierrez.,True
Scarlett West is associated with an athlete known as Maria Gutierrez.,True
Maria Gutierrez is an athlete trained by Scarlett West.,True
An athlete named Maria Gutierrez is under the guidance of Scarlett West.,True
Maria Gutierrez is coached by Scarlett West.,True
"Scarlett West is the coach of Maria Gutierrez, who is an athlete.",True
Gemma Edwards is the coach of an athlete named John Pierce,True
John Pierce is the athlete represented by Gemma Edwards,True
John Pierce has Gemma Edwards as his coach,True
The athlete named John Pierce is being trained by Gemma Edwards,True
Gemma Edwards is the coach of an athlete known as John Pierce,True
John Pierce is under the guidance of Gemma Edwards,True
Gemma Edwards has an athlete named John Pierce who she works with,True
John Pierce is a trainee of Gemma Edwards,True
"For John Pierce, Gemma Edwards is the athlete's representative.",True
John Pierce is associated with the athlete Gemma Edwards.,True
Gemma Edwards represents an athlete named John Pierce.,True
John Pierce is the name of the athlete represented by Gemma Edwards.,True
"The athlete's representative is Gemma Edwards, and their name is John Pierce.",True
"In relation to John Pierce, the role of athlete is filled by Gemma Edwards.",True
John Pierce is the athlete associated with Gemma Edwards.,True
Gemma Edwards is represented by John Pierce in the capacity of an athlete.,True
The athlete role is occupied by John Pierce in connection to Gemma Edwards.,True
John Pierce serves as the athlete for Gemma Edwards.,True
Sebastian Müller has a passenger named Akira Tanaka,True
Akira Tanaka is being transported by Sebastian Müller,True
The passenger of Sebastian Müller is Akira Tanaka,True
Sebastian Müller is transporting a person named Akira Tanaka,True
Akira Tanaka travels with Sebastian Müller,True
"Sebastian Müller is the driver of Akira Tanaka, who is the passenger.",True
Akira Tanaka is driven by a person named Sebastian Müller.,True
"The passenger, Akira Tanaka, is driven by Sebastian Müller.",True
Sebastian Müller drives a passenger named Akira Tanaka.,True
Akira Tanaka's driver is Sebastian Müller.,True
"As Sebastian Müller travels, he is accompanied by passenger Akira Tanaka.",True
Akira Tanaka is traveling alongside Sebastian Müller as a passenger.,True
Sebastian Müller is a traveler who has Akira Tanaka as a passenger.,True
"As a passenger, Akira Tanaka is in the company of Sebastian Müller.",True
"In the vehicle, Sebastian Müller is accompanied by his passenger, Akira Tanaka.",True
Sebastian Müller is the driver who has Akira Tanaka as a passenger in his vehicle.,True
Akira Tanaka rides in the vehicle alongside Sebastian Müller.,True
"As the passenger, Akira Tanaka is traveling with Sebastian Müller in the vehicle.",True
"Sebastian Müller is traveling with his passenger, Akira Tanaka, in the vehicle.",True
Hazel Morris is an employee of Jordan Gibson,True
Jordan Gibson employs a person named Hazel Morris,True
Hazel Morris works for Jordan Gibson,True
Hazel Morris is the employee of Jordan Gibson.,True
Jordan Gibson employs an individual named Hazel Morris.,True
The employee named Hazel Morris works for Jordan Gibson.,True
Jordan Gibson is associated with an employee called Hazel Morris.,True
Hazel Morris works under the supervision of Jordan Gibson.,True
