character_a,character_b,forward_relation,backward_relation,gender_tag
Wendy Castro,Audrey Cooper,friend,friend,n-n
Hazel Morris,Xena Rios,employee,boss,n-n
Hazel Morris,Bob Williams,subject,king,m-n
Helena Novak,Aleksandra Ivanova,patient,doctor,n-n
Raymond Gardner,Jasmine Khan,mentee,mentor,n-n
Raymond Gardner,Nadia Abadi,mentee,mentor,n-n
Raymond Gardner,Christian Perry,grandchild,grandparent,n-n
Yasmine Graves,Bob Williams,child,father,m-n
Alexander Reed,Winter Ball,brother,sister,f-m
Alexander Reed,Ananya Sharma,employee,boss,n-n
Alexander Reed,Akira Tanaka,athlete,coach,n-n
Javier Hernandez,Hazel Morris,student,principal,n-n
Javier Hernandez,Zayd Abdullah,subject,king,m-n
Cadence Howard,Scarlett West,patient,doctor,n-n
John Pierce,Audrey Cooper,employee,boss,n-n
Nikolai Sokolov,Lucia Rodriguez,student,principal,n-n
Nikolai Sokolov,Lifen Qiu,brother,sister,f-m
Bob Williams,Nadia Abadi,passenger,pilot,n-n
Elena Popova,Hazel Morris,employee,boss,n-n
Xena Rios,Gemma Edwards,sailor,captain,n-n
Xena Rios,Bob Williams,child,father,m-n
Tatiana Orlova,Raymond Gardner,passenger,pilot,n-n
Tatiana Orlova,Xavier Poole,athlete,coach,n-n
Robert Hayes,Yvette Pittman,brother,sister,f-m
Dominic Carter,Lucia Rodriguez,niece,uncle,m-f
Dominic Carter,Xena Rios,athlete,coach,n-n
Winter Ball,Xena Rios,mentee,mentor,n-n
Winter Ball,Penelope Shaw,friend,friend,n-n
Winter Ball,Elena Popova,subject,king,m-n
Stefan Nowak,John Pierce,nephew,aunt,f-m
Stefan Nowak,Alexander Reed,mentee,mentor,n-n
Xavier Poole,Javier Hernandez,patient,doctor,n-n
Victor Norman,John Pierce,student,principal,n-n
Victor Norman,Yvette Pittman,employee,boss,n-n
Zayd Abdullah,Audrey Cooper,passenger,pilot,n-n
Zayd Abdullah,Yvette Pittman,subject,king,m-n
Amir Zaidi,Isaac Cohen,passenger,pilot,n-n
Lifen Qiu,Irene Papadopoulos,employee,boss,n-n
Theodore Hayes,Scarlett West,client,therapist,n-n
Theodore Hayes,Akira Tanaka,student,principal,n-n
Theodore Hayes,Xiuying Gao,child,father,m-n
Maya Patel,Xiuying Gao,student,principal,n-n
Maya Patel,Amir Zaidi,employee,boss,n-n
Maya Patel,Gabriel Thompson,mentee,mentor,n-n
Lucia Rodriguez,Freya Evans,friend,friend,n-n
Lucia Rodriguez,Nikolai Sokolov,student,principal,n-n
Lucia Rodriguez,Yvette Pittman,grandchild,grandparent,n-n
Christian Perry,Winter Ball,brother,sister,f-m
Freya Evans,Nadia Abadi,subject,king,m-n
Freya Evans,Maya Patel,athlete,coach,n-n
