question,answer
Who is the focus of Robert Hayes's work?,Florence Baker
Who is the student of Dominic Carter?,Selena Rivera
Who is the pupil of Dominic Carter?,Selena Rivera
Who is the individual studying under Dominic Carter?,Selena Rivera
Who is the learner associated with Dominic Carter?,Selena Rivera
Who works for Winter Ball?,Yara Stanton
Who is the staff member at Winter Ball?,Yara Stanton
Who is employed by Winter Ball?,Yara Stanton
Who serves as an employee at Winter Ball?,Yara Stanton
Who is the student of Stefan Nowak?,Esther Lee
Which student belongs to Stefan Nowak?,Esther Lee
Who is the pupil of Stefan Nowak?,Esther Lee
Whom does Stefan Nowak teach?,Esther Lee
Who is the friend of Xavier Poole?,Marcus Davis
Who is Xavier Poole's companion?,Marcus Davis
Can you tell me who Xavier Poole's friend is?,Marcus Davis
Who counts as a friend to Xavier Poole?,Marcus Davis
Who is the patient of Victor Norman?,Hannah Parker
Whom does Victor Norman treat?,Hannah Parker
Who is the individual under Victor Norman's care?,Hannah Parker
Which patient is associated with Victor Norman?,Hannah Parker
Who is the patient of Zayd Abdullah?,Violet Day
Who does Zayd Abdullah treat as a patient?,Violet Day
Can you tell me the name of Zayd Abdullah's patient?,Violet Day
Whom does Zayd Abdullah have as a patient?,Violet Day
Who is the student of Amir Zaidi?,Sofia Vasquez
Who is the pupil of Amir Zaidi?,Sofia Vasquez
Which student belongs to Amir Zaidi?,Sofia Vasquez
Who studies under Amir Zaidi?,Sofia Vasquez
What is the name of Lifen Qiu's brother?,James Romero
Can you tell me who Lifen Qiu's brother is?,James Romero
Who is the brother of Lifen Qiu?,James Romero
Do you know the identity of Lifen Qiu's brother?,James Romero
Who is the mentee of Theodore Hayes?,Julia Mason
Who does Theodore Hayes mentor?,Julia Mason
Can you tell me the name of Theodore Hayes's mentee?,Julia Mason
Who is being mentored by Theodore Hayes?,Julia Mason
Who is the child of Maya Patel?,Austin Hayes
Who is the offspring of Maya Patel?,Austin Hayes
Can you tell me the name of Maya Patel's child?,Austin Hayes
Who is the kid belonging to Maya Patel?,Austin Hayes
Who is the client of Lucia Rodriguez?,Mateo Gonzalez
Which client does Lucia Rodriguez represent?,Mateo Gonzalez
Who is the individual that Lucia Rodriguez is working with?,Mateo Gonzalez
Can you tell me the name of Lucia Rodriguez's client?,Mateo Gonzalez
Who is the patient of Bianca Rossi?,Theodore Fleming
Who does Bianca Rossi provide care for?,Theodore Fleming
Which patient is associated with Bianca Rossi?,Theodore Fleming
Who is under the care of Bianca Rossi?,Theodore Fleming
Who works for Zara Hussein?,Gemma Edwards
Who is employed by Zara Hussein?,Gemma Edwards
Who is on Zara Hussein's staff?,Gemma Edwards
Who is Zara Hussein's staff member?,Gemma Edwards
Who works for Aaron Goldstein?,Quinn Bowman
Who is employed by Aaron Goldstein?,Quinn Bowman
Who is the employee of Aaron Goldstein?,Quinn Bowman
Who is on Aaron Goldstein's staff?,Quinn Bowman
Who works for Jinhai Ruan?,Alexander Reed
Who is employed by Jinhai Ruan?,Alexander Reed
Who is the staff member of Jinhai Ruan?,Alexander Reed
Who holds a position with Jinhai Ruan?,Alexander Reed
Who is the grandchild of Rosa Sanchez?,Yvette Pittman
Who is the grandchild belonging to Rosa Sanchez?,Yvette Pittman
Can you tell me the name of Rosa Sanchez's grandchild?,Yvette Pittman
Who qualifies as the grandchild of Rosa Sanchez?,Yvette Pittman
Who is the focus of Kai Nakamura's work?,Brianna Ross
Whom does Kai Nakamura study?,Brianna Ross
Who is the main subject of Kai Nakamura?,Brianna Ross
What individual is Kai Nakamura's subject?,Brianna Ross
Who is the sailor associated with Paulo Silva?,Yasmin Malik
Who is the person sailing with Paulo Silva?,Yasmin Malik
Who is the sailor that belongs to Paulo Silva?,Yasmin Malik
Who sails alongside Paulo Silva?,Yasmin Malik
Who is the patient of Jade Myers?,Miguel Reyes
Who is the individual receiving care from Jade Myers?,Miguel Reyes
Who does Jade Myers treat as a patient?,Miguel Reyes
Whom does Jade Myers have as a patient?,Miguel Reyes
Who works for Chloe Wood?,Delia Morales
Who is employed by Chloe Wood?,Delia Morales
Who is on Chloe Wood's staff?,Delia Morales
Who is part of Chloe Wood's team?,Delia Morales
Who works for Xander Brooks?,Raymond Gardner
Who is employed by Xander Brooks?,Raymond Gardner
Who is the staff member of Xander Brooks?,Raymond Gardner
Who holds a position under Xander Brooks?,Raymond Gardner
Who is the student of Victor Mendoza?,Brandon Bell
Who is the student that belongs to Victor Mendoza?,Brandon Bell
Which student is associated with Victor Mendoza?,Brandon Bell
Who is the individual studying under Victor Mendoza?,Brandon Bell
Who is the patient of Imani Jefferson?,Daniel Long
Whom does Imani Jefferson treat as a patient?,Daniel Long
Can you tell me the name of Imani Jefferson's patient?,Daniel Long
Who is the individual receiving care from Imani Jefferson?,Daniel Long
Who is the mentee of Meihui Zhu?,Ethan Robertson
Who does Meihui Zhu mentor?,Ethan Robertson
Can you tell me the name of Meihui Zhu's mentee?,Ethan Robertson
Who is being mentored by Meihui Zhu?,Ethan Robertson
Who is the friend of Richard Garcia?,Julian Arnold
Who is Richard Garcia's companion?,Julian Arnold
Can you tell me who Richard Garcia's friend is?,Julian Arnold
Who counts as a friend to Richard Garcia?,Julian Arnold
Who is the mentee of Sebastian Müller?,Wyatt Hill
Who holds the position of mentee under Sebastian Müller?,Wyatt Hill
Can you tell me who Sebastian Müller's mentee is?,Wyatt Hill
Who is the individual being mentored by Sebastian Müller?,Wyatt Hill
Who is the client of Elizabeth Sanders?,Valentina Romano
Which client is associated with Elizabeth Sanders?,Valentina Romano
Can you tell me who Elizabeth Sanders’s client is?,Valentina Romano
Who does Elizabeth Sanders represent as a client?,Valentina Romano
Who works for Ruby Lambert?,Quinn Morgan
Who is employed by Ruby Lambert?,Quinn Morgan
Who is the staff member of Ruby Lambert?,Quinn Morgan
Who holds a position under Ruby Lambert?,Quinn Morgan
Who is the person being mentored by Genevieve Lambert?,Ryan Newman
Who is the mentee of Genevieve Lambert?,Ryan Newman
Can you tell me the name of Genevieve Lambert's mentee?,Ryan Newman
Who is the individual that Genevieve Lambert is mentoring?,Ryan Newman
Who is the athlete associated with Thomas Norton?,Delaney Fisher
Which athlete is linked to Thomas Norton?,Delaney Fisher
Who does Thomas Norton represent as an athlete?,Delaney Fisher
Can you tell me the name of Thomas Norton's athlete?,Delaney Fisher
Who is the mentee of Ezra Mitchell?,Wren Yates
Who does Ezra Mitchell mentor?,Wren Yates
Which individual is mentored by Ezra Mitchell?,Wren Yates
Who is under the mentorship of Ezra Mitchell?,Wren Yates
Who is the student of Wyatt Patton?,Kwame Osei
Who is the individual studying under Wyatt Patton?,Kwame Osei
Which student belongs to Wyatt Patton?,Kwame Osei
Who studies with Wyatt Patton?,Kwame Osei
Who is the student of Eden Rivera?,Carmen Diaz
Who is the pupil belonging to Eden Rivera?,Carmen Diaz
Can you tell me the name of Eden Rivera's student?,Carmen Diaz
Who is the individual studying under Eden Rivera?,Carmen Diaz
Who works for Emery Gray?,Vincent Walsh
Who is employed by Emery Gray?,Vincent Walsh
Who is on Emery Gray's staff?,Vincent Walsh
Who is the employee of Emery Gray?,Vincent Walsh
Who is the child of Sebastian Holt?,Luna Porter
Who is the offspring of Sebastian Holt?,Luna Porter
Who does Sebastian Holt have as a child?,Luna Porter
What is the name of Sebastian Holt's child?,Luna Porter
Who is the client of Hiroshi Nakamura?,Priya Patel
Which client is associated with Hiroshi Nakamura?,Priya Patel
Can you tell me who Hiroshi Nakamura's client is?,Priya Patel
Who does Hiroshi Nakamura represent as a client?,Priya Patel
Who is the friend of Oliver Bennett?,Karina Alvarez
Who counts as a friend to Oliver Bennett?,Karina Alvarez
Who is considered a friend by Oliver Bennett?,Karina Alvarez
Who does Oliver Bennett call his friend?,Karina Alvarez
Who works for Wesley Clark?,Sakura Watanabe
Who is employed by Wesley Clark?,Sakura Watanabe
Who is on Wesley Clark's staff?,Sakura Watanabe
Who holds a position under Wesley Clark?,Sakura Watanabe
Who is the child of Lina Bishara?,Penelope Shaw
Who is the offspring of Lina Bishara?,Penelope Shaw
Can you tell me who Lina Bishara's kid is?,Penelope Shaw
Who does Lina Bishara have as a child?,Penelope Shaw
Who is the grandchild of Dylan King?,Raj Malhotra
Can you tell me the name of Dylan King's grandchild?,Raj Malhotra
Who does Dylan King have as a grandchild?,Raj Malhotra
Which person is the grandchild of Dylan King?,Raj Malhotra
Who is the student of Grayson Collins?,Jocelyn Hicks
Who is the individual studying under Grayson Collins?,Jocelyn Hicks
Which student is associated with Grayson Collins?,Jocelyn Hicks
Who counts as a student of Grayson Collins?,Jocelyn Hicks
Who is the athlete associated with Eva Phillips?,Cadence Howard
Which athlete is linked to Eva Phillips?,Cadence Howard
Who is the sports figure representing Eva Phillips?,Cadence Howard
Can you tell me who Eva Phillips's athlete is?,Cadence Howard
Who is the athlete associated with Sophia Anderson?,Jordan Gibson
Which athlete is linked to Sophia Anderson?,Jordan Gibson
Can you tell me who Sophia Anderson's athlete is?,Jordan Gibson
Who represents Sophia Anderson as an athlete?,Jordan Gibson
Who is the researcher associated with Wallace Lynch?,David Murphy
Who conducts research for Wallace Lynch?,David Murphy
Who is the individual researching alongside Wallace Lynch?,David Murphy
Who is the person doing research with Wallace Lynch?,David Murphy
Who is the passenger accompanying Ingrid Svenson?,Angela Washington
Who is riding with Ingrid Svenson?,Angela Washington
Who is the individual traveling with Ingrid Svenson?,Angela Washington
Who is the person in the vehicle with Ingrid Svenson?,Angela Washington
Who works for Zachary Baker?,Walter Banks
Who is the employee of Zachary Baker?,Walter Banks
Who is employed by Zachary Baker?,Walter Banks
Who is the person that works under Zachary Baker?,Walter Banks
Who is the patient of Marina Petrova?,Ximena Diaz
Who does Marina Petrova treat as a patient?,Ximena Diaz
Which patient is associated with Marina Petrova?,Ximena Diaz
Who is the individual receiving care from Marina Petrova?,Ximena Diaz
Who is the researcher associated with Jack Ortiz?,Zoe Collins
Who is the individual conducting research for Jack Ortiz?,Zoe Collins
Who conducts research on behalf of Jack Ortiz?,Zoe Collins
Who is the researcher working with Jack Ortiz?,Zoe Collins
Who is the friend of Omar Hassan?,Kenji Watanabe
Who is Omar Hassan's companion?,Kenji Watanabe
Can you tell me who Omar Hassan's friend is?,Kenji Watanabe
Who counts as a friend to Omar Hassan?,Kenji Watanabe
Who is the sailor associated with Tara Wilson?,Jasmine Khan
Who is the sailor linked to Tara Wilson?,Jasmine Khan
Who is the individual that sails with Tara Wilson?,Jasmine Khan
Who is Tara Wilson's maritime companion?,Jasmine Khan
Who is the athlete associated with Chase Griffin?,Xena Rios
Who is the athlete linked to Chase Griffin?,Xena Rios
Who is the sports figure connected to Chase Griffin?,Xena Rios
Who does Chase Griffin represent as an athlete?,Xena Rios
Who is the person riding with Leo Tucker?,Ahmed Al-Farsi
Who accompanies Leo Tucker as a passenger?,Ahmed Al-Farsi
Who is traveling with Leo Tucker?,Ahmed Al-Farsi
Who is sitting with Leo Tucker in the vehicle?,Ahmed Al-Farsi
Who is the offspring of Santiago Torres?,Silas Montgomery
Who is the child of Santiago Torres?,Silas Montgomery
Can you tell me who Santiago Torres's child is?,Silas Montgomery
Who is the son or daughter of Santiago Torres?,Silas Montgomery
Who is the person riding with Yale Patton?,Sanjay Gupta
Who accompanies Yale Patton as a passenger?,Sanjay Gupta
Can you tell me who is traveling with Yale Patton?,Sanjay Gupta
Who is in the car with Yale Patton?,Sanjay Gupta
Who is the person riding with Paisley Riley?,Gabriel Thompson
Who accompanies Paisley Riley as a passenger?,Gabriel Thompson
Who is the individual in the vehicle with Paisley Riley?,Gabriel Thompson
Who is traveling with Paisley Riley?,Gabriel Thompson
Who is the patient of Alice Johnson?,Caleb Mitchell
Which patient belongs to Alice Johnson?,Caleb Mitchell
Who does Alice Johnson treat as a patient?,Caleb Mitchell
Can you tell me who Alice Johnson's patient is?,Caleb Mitchell
Who works for Felix Weber?,Wendy Castro
Who is employed by Felix Weber?,Wendy Castro
Who is the staff member of Felix Weber?,Wendy Castro
Who is the employee associated with Felix Weber?,Wendy Castro
Who is the child of Isabelle Russell?,Ella Watson
Who is the offspring of Isabelle Russell?,Ella Watson
Can you tell me who Isabelle Russell's child is?,Ella Watson
Who does Isabelle Russell have as a child?,Ella Watson
Who works for Yuki Tanaka?,Serenity Burton
Who is employed by Yuki Tanaka?,Serenity Burton
Which individual is an employee of Yuki Tanaka?,Serenity Burton
Who holds a position under Yuki Tanaka?,Serenity Burton
Who works for Caleb Jenkins?,Francisco Gomez
Who is employed by Caleb Jenkins?,Francisco Gomez
Who is on Caleb Jenkins's staff?,Francisco Gomez
Who is an employee of Caleb Jenkins?,Francisco Gomez
Who was the passenger accompanying Olivia Campbell?,Nadia Abadi
Who is the person riding with Olivia Campbell?,Nadia Abadi
Can you tell me who was in the car with Olivia Campbell?,Nadia Abadi
Who was Olivia Campbell's companion during the trip?,Nadia Abadi
Who works for Abigail Turner?,Faith Allen
Who is employed by Abigail Turner?,Faith Allen
Who is the staff member of Abigail Turner?,Faith Allen
Which individual is Abigail Turner’s employee?,Faith Allen
Who is the person traveling with Ibrahim Mahmoud?,Yasmine Graves
Who accompanies Ibrahim Mahmoud as a passenger?,Yasmine Graves
Can you tell me who is riding with Ibrahim Mahmoud?,Yasmine Graves
Who is the individual that is a passenger with Ibrahim Mahmoud?,Yasmine Graves
Who conducts research for Owen Jacobs?,Eleanor Kelly
Who is the researcher associated with Owen Jacobs?,Eleanor Kelly
Who serves as the researcher for Owen Jacobs?,Eleanor Kelly
Who is the individual doing research on behalf of Owen Jacobs?,Eleanor Kelly
Who is the patient of Sadie Holt?,Xiuying Gao
Who does Sadie Holt treat?,Xiuying Gao
Who is under the care of Sadie Holt?,Xiuying Gao
Which patient is associated with Sadie Holt?,Xiuying Gao
Who is the friend of Benjamin Foster?,Grace Stewart
Who is Benjamin Foster's companion?,Grace Stewart
Can you tell me who Benjamin Foster’s friend is?,Grace Stewart
Who counts as a friend for Benjamin Foster?,Grace Stewart
Who is the student of Zola Shannon?,Andrei Petrov
Who is the individual studying under Zola Shannon?,Andrei Petrov
Who is the pupil of Zola Shannon?,Andrei Petrov
Who is Zola Shannon's pupil?,Andrei Petrov
Who is the child of Layla Ibrahim?,Quentin Wagner
Who is the offspring of Layla Ibrahim?,Quentin Wagner
Who is Layla Ibrahim's offspring?,Quentin Wagner
Who is the daughter or son of Layla Ibrahim?,Quentin Wagner
Who is the passenger of Clara Dubois?,Ananya Sharma
Who is traveling with Clara Dubois?,Ananya Sharma
Who accompanies Clara Dubois?,Ananya Sharma
Who is the individual riding with Clara Dubois?,Ananya Sharma
Who is the patient of Fatima Ahmed?,Joseph Fowler
Who is the individual that Fatima Ahmed is treating?,Joseph Fowler
Can you tell me who Fatima Ahmed's patient is?,Joseph Fowler
Who is under Fatima Ahmed's care?,Joseph Fowler
Who is the sailor associated with Gavin Hughes?,Julia Nguyen
Who is the individual that sails with Gavin Hughes?,Julia Nguyen
Who sails alongside Gavin Hughes?,Julia Nguyen
Who is the person that represents Gavin Hughes in sailing?,Julia Nguyen
Who is the student of Parker Olsen?,Anders Johansson
Who is the individual studying under Parker Olsen?,Anders Johansson
Can you tell me the name of Parker Olsen's student?,Anders Johansson
Who studies with Parker Olsen?,Anders Johansson
Who is the friend of Elias Ward?,Samira Karim
Who is Elias Ward's companion?,Samira Karim
Can you tell me who Elias Ward's friend is?,Samira Karim
Who counts as a friend to Elias Ward?,Samira Karim
Who works for Lydia Chapman?,Xenia Cohen
Who is employed by Lydia Chapman?,Xenia Cohen
Which individual is an employee of Lydia Chapman?,Xenia Cohen
Who can be identified as an employee of Lydia Chapman?,Xenia Cohen
Who works for Diana Martinez?,Haruki Yamamoto
Who is employed by Diana Martinez?,Haruki Yamamoto
Who is the staff member of Diana Martinez?,Haruki Yamamoto
Who is under Diana Martinez's employment?,Haruki Yamamoto
Who is the nephew of Beatrice Reynolds?,Elijah Brown
Who is Beatrice Reynolds's sibling's son?,Elijah Brown
Can you tell me the name of Beatrice Reynolds's nephew?,Elijah Brown
Who qualifies as the nephew of Beatrice Reynolds?,Elijah Brown
Who is the passenger accompanying Emmett Brooks?,John Pierce
Who rides with Emmett Brooks?,John Pierce
Who is the person traveling with Emmett Brooks?,John Pierce
Who is Emmett Brooks's companion in the vehicle?,John Pierce
Who is the grandchild of Riley Barrett?,Hunter Sullivan
Which individual is the grandchild of Riley Barrett?,Hunter Sullivan
Can you tell me the name of Riley Barrett's grandchild?,Hunter Sullivan
Who holds the title of grandchild for Riley Barrett?,Hunter Sullivan
Who is the student of Luke Lawson?,June Webb
Which student belongs to Luke Lawson?,June Webb
Who counts as a student of Luke Lawson?,June Webb
Who is under the instruction of Luke Lawson?,June Webb
Who works for Rebecca Friedman?,Gabriela Fernandez
Who is employed by Rebecca Friedman?,Gabriela Fernandez
Who is Rebecca Friedman’s staff member?,Gabriela Fernandez
Who holds a position under Rebecca Friedman?,Gabriela Fernandez
Who is the researcher associated with Finn Cook?,Ethan Wright
Who conducts research for Finn Cook?,Ethan Wright
Who is the individual researching alongside Finn Cook?,Ethan Wright
Who is the academic working with Finn Cook?,Ethan Wright
Who is the student of Charlie Anderson?,Zelda Wright
Which student belongs to Charlie Anderson?,Zelda Wright
Who is the student taught by Charlie Anderson?,Zelda Wright
Who is the pupil of Charlie Anderson?,Zelda Wright
Who is the mentee of Naomi Kim?,Maria Gutierrez
Who does Naomi Kim mentor?,Maria Gutierrez
Can you tell me the name of Naomi Kim's mentee?,Maria Gutierrez
Who is being mentored by Naomi Kim?,Maria Gutierrez
Who is the child of Willow Green?,Freya Evans
Who is the offspring of Willow Green?,Freya Evans
Can you tell me who Willow Green's kid is?,Freya Evans
Who does Willow Green have as a child?,Freya Evans
Who works for Yara Underwood?,Claire Scott
Who is employed by Yara Underwood?,Claire Scott
Who is the staff member of Yara Underwood?,Claire Scott
Who is on Yara Underwood's team?,Claire Scott
